pn,pn_interchangeable,interchangeable_type,authorization_code,vendor,prefer,category
015U1397-5,015U1397-5,M,,,,EXP
015U1399-8,015U1399-8,M,,,,EXP
015U1402-1,015U1402-1,M,,,,EXP
015U1402-2,015U1402-2,M,,,,EXP
015U1419-1,015U1419-1,M,,,,EXP
015U1432-3,015U1432-3,M,,,,EXP
015U1437-8,015U1437-8,M,,,,ROT
015U1441-5,015U1441-5,M,,,,EXP
015U1441-8,015U1441-8,M,,,,EXP
015U1456-2,015U1456-2,M,,,,EXP
015U1457-9,015U1457-9,M,,,,EXP
015U1460-1,015U1460-1,M,,,,EXP
015U1461-2,015U1461-2,M,,,,EXP
015U1467-2,015U1467-2,M,,,,EXP
015U1467-4,015U1467-4,M,,,,EXP
015U1470-10,015U1470-10,M,,,,EXP
015U1476-1,015U1476-1,M,,,,EXP
015U1479-1,015U1479-1,M,,,,EXP
015U1479-2,015U1479-2,M,,,,EXP
015U1480-1,015U1480-1,M,,,,EXP
015U1482-1,015U1482-1,M,,,,EXP
015U1484-1,015U1484-1,M,,,,EXP
015U1487-1,015U1487-1,M,,,,EXP
015U1495-1,015U1495-1,M,,,,EXP
015U1496-1,015U1496-1,M,,,,EXP
015U1501-3,015U1501-3,M,,,,EXP
015U1505-1,015U1505-1,M,,,,EXP
015U1507-1,015U1507-1,M,,,,EXP
015U1507-3,015U1507-3,M,,,,EXP
015U1509-1,015U1509-1,M,,,,EXP
015U1511-1,015U1511-1,M,,,,EXP
015U1529-2,015U1529-2,M,,,,EXP
015U1531-1,015U1531-1,M,,,,EXP
015U1533-1,015U1533-1,M,,,,EXP
015U1547-3,015U1547-3,M,,,,EXP
015U1548-1,015U1548-1,M,,,,EXP
015U1565-3,015U1565-3,M,,,,EXP
015U1584-1,015U1584-1,M,,,,EXP
015U1587-1,015U1587-1,M,,,,EXP
015U1589-1,015U1589-1,M,,,,EXP
015U1590-2,015U1590-2,M,,,,EXP
015U1595-1,015U1595-1,M,,,,EXP
015U1595-2,015U1595-2,M,,,,EXP
015U1595-3,015U1595-3,M,,,,EXP
015U1596-1,015U1596-1,M,,,,EXP
015U1602-1,015U1602-1,M,,,,EXP
015U1602-2,015U1602-2,M,,,,EXP
015U1602-3,015U1602-3,M,,,,EXP
015U1610-1,015U1610-1,M,,,,EXP
015U1611-1,015U1611-1,M,,,,EXP
015U1613-1,015U1613-1,M,,,,EXP
015U1613-4,015U1613-4,M,,,,EXP
015U1618-2,015U1618-2,M,,,,EXP
015U1634-1,015U1634-1,M,,,,EXP
015U1636-1,015U1636-1,M,,,,EXP
015U1639-1,015U1639-1,M,,,,EXP
015U1645-1,015U1645-1,M,,,,EXP
015U1648-1,015U1648-1,M,,,,EXP
015U1656-1,015U1656-1,M,,,,EXP
015U1672-3,015U1672-3,M,,,,EXP
015U1672-5,015U1672-5,M,,,,EXP
015U1682-1,015U1682-1,M,,,,EXP
015U1690-1,015U1690-1,M,,,,EXP
015U1695-1,015U1695-1,M,,,,EXP
015U1698-1,015U1698-1,M,,,,EXP
015U1707-2,015U1707-2,M,,,,KIT
015U1707-36,015U1707-36,M,,,,ROT
015U1708-1,015U1708-1,M,,,,EXP
015U1709-2,015U1709-2,M,,,,EXP
015U1710-13,015U1710-13,M,,,,EXP
015U1710-23,015U1710-23,M,,,,EXP
015U1710-3,015U1710-3,M,,,,EXP
015U1719-1,015U1719-1,M,,,,EXP
015U1721-1,015U1721-1,M,,,,EXP
015U1721-15,015U1721-15,M,,,,EXP
015U1721-2,015U1721-2,M,,,,EXP
015U1721-4,015U1721-4,M,,,,EXP
015U1721-5,015U1721-5,M,,,,KIT
015U1721-6,015U1721-6,M,,,,KIT
015U1725-1,015U1725-1,M,,,,EXP
015U1726-1,015U1726-1,M,,,,EXP
015U1729-1,015U1729-1,M,,,,EXP
015U1731-1,015U1731-1,M,,,,EXP
015U1732-16,015U1732-1,B,,,N,EXP
015U1732-16,015U1732-16,M,,,,EXP
015U1732-2,015U1732-2,M,,,,EXP
015U1732-34,015U1732-34,M,,,,EXP
015U1732-4,015U1732-4,M,,,,EXP
015U1734-2,015U1734-2,M,,,,EXP
015U1734-3,015U1734-3,M,,,,EXP
015U1734-3,015U1734-1,B,,,N,EXP
015U1735-13,015U1735-13,M,,,,KIT
015U1735-3,015U1735-3,M,,,,KIT
015U1735-6,015U1735-6,M,,,,KIT
015U1736-1,015U1736-1,M,,,,EXP
015U1736-2,015U1736-2,M,,,,EXP
015U1736-3,015U1736-3,M,,,,EXP
015U1736-4,015U1736-4,M,,,,EXP
015U1736-7,015U1736-7,M,,,,EXP
015U1736-8,015U1736-8,M,,,,EXP
015U1737-1,015U1737-1,M,,,,EXP
015U1740-1,015U1740-1,M,,,,EXP
015U1740-2,015U1740-2,M,,,,EXP
015U1740-3,015U1740-3,M,,,,EXP
015U1743-1,015U1743-1,M,,,,EXP
015U1743-2,015U1743-2,M,,,,EXP
015U1743-3,015U1743-3,M,,,,EXP
015U1743-4,015U1743-4,M,,,,EXP
015U1743-6,015U1743-6,M,,,,EXP
015U1743-9,015U1743-9,M,,,,EXP
015U1745-1,015U1745-1,M,,,,EXP
015U1745-2,015U1745-2,M,,,,EXP
015U1745-5,015U1745-5,M,,,,EXP
015U1745-8,015U1745-8,M,,,,EXP
015U1745-9,015U1745-9,M,,,,EXP
015U1749-1,015U1749-1,M,,,,EXP
015U1749-2,015U1749-2,M,,,,EXP
015U1752-1,015U1752-1,M,,,,EXP
015U1752-3,015U1752-3,M,,,,EXP
015U1755-1,015U1755-1,M,,,,EXP
015U1755-2,015U1755-2,M,,,,EXP
015U1761-1,015U1761-1,M,,,,KIT
015U1761-12,015U1761-12,M,,,,KIT
015U1761-13,015U1761-13,M,,,,KIT
015U1761-14,015U1761-14,M,,,,KIT
015U1761-15,015U1761-15,M,,,,KIT
015U1761-2,015U1761-2,M,,,,KIT
015U1761-3,015U1761-3,M,,,,KIT
015U1761-4,015U1761-4,M,,,,KIT
015U1761-5,015U1761-5,M,,,,KIT
015U1771-13,015U1771-13,M,,,,KIT
015U1771-14,015U1771-14,M,,,,KIT
015U1771-21,015U1771-21,M,,,,KIT
015U1771-22,015U1771-22,M,,,,KIT
015U1771-29,015U1771-29,M,,,,KIT
015U1771-30,015U1771-30,M,,,,KIT
015U1772-1,015U1772-1,M,,,,KIT
015U1772-7,015U1772-7,M,,,,KIT
015U1775-1,015U1775-1,M,,,,EXP
015U1776-1,015U1776-1,M,,,,EXP
015U1780-21,015U1780-21,M,,,,KIT
015U1780-8,015U1780-8,M,,BOEING CA,,EXP
015U1781-1,015U1781-1,M,,,,EXP
015U1781-2,015U1781-2,M,,,,KIT
015U1781-5,015U1781-5,M,,,,TOOL
015U1781-701,015U1781-701,M,,,,KIT
015U1781-702,015U1781-702,M,,,,EXP
015U1781-8,015U1781-8,M,,,,EXP
015U1785-1,015U1785-1,M,,,,EXP
015U1785-2,015U1785-2,M,,,,KIT
015U1793-1,015U1793-1,M,,,,KIT
015U1794-1,015U1794-1,M,,,,EXP
015U1795-1,015U1795-1,M,,,,KIT
015U1795-5,015U1795-5,M,,,,EXP
015U1798-2,015U1798-2,M,,,,KIT
015U1807-53,015U1807-53,M,,,,EXP
015U1807-701,015U1807-701,M,,,,KIT
015U1807-8,015U1807-8,M,,,,KIT
015U1814-1,015U1814-1,M,,,,EXP
015U1815-1,015U1815-1,M,,,,KIT
015U1820-2,015U1820-2,M,,,,KIT
015U1821-1,015U1821-1,M,,,,EXP
015U1821-5,015U1821-5,M,,,,EXP
015U1824-1,015U1824-1,M,,,,KIT
015U1825-1,015U1825-1,M,,,,EXP
015U1832-1,015U1832-1,M,,,,KIT
015U1832-2,015U1832-2,M,,,,KIT
015U1833-1,015U1833-1,M,,,,EXP
015U1833-4,015U1833-4,M,,,,EXP
015U1833-8,015U1833-8,M,,,,EXP
015U1833-9,015U1833-9,M,,,,EXP
015U1837-20,015U1837-20,M,,,,KIT
015U1845-1,015U1845-1,M,,,,KIT
015U1847-2,015U1847-2,M,,,,EXP
015U1851-1,015U1851-1,M,,,,EXP
015U1870-2,015U1870-2,M,,,,EXP
015U1870-6,015U1870-6,M,,,,KIT
015U1876-1,015U1876-1,M,,,,KIT
015U1878-13,015U1878-13,M,,,,KIT
015U1878-18,015U1878-18,M,,,,KIT
015U1878-7,015U1878-7,M,,,,KIT
015U1882-1,015U1882-1,M,,,,KIT
015U1882-4,015U1882-4,M,,,,KIT
015U1886-1,015U1886-1,M,,,,KIT
015U1887-1,015U1887-1,M,,,,KIT
015U1892-1,015U1892-1,M,,,,KIT
015U1892-2,015U1892-2,M,,,,KIT
015U1895-1,015U1895-1,M,,,,KIT
015U1899-1,015U1899-1,M,,,,KIT
015U1905-1,015U1905-1,M,,,,KIT
015U1907-1,015U1907-1,M,,,,KIT
015U1908-1,015U1908-1,M,,,,EXP
015U1910-1,015U1910-1,M,,,,KIT
015U1914-15,015U1914-15,M,,,,KIT
015U1914-5,015U1914-5,M,,,,KIT
015U1916-1,015U1916-1,M,,,,KIT
015U1917-1,015U1917-1,M,,,,KIT
015U1920-1,015U1920-1,M,,,,KIT
015U1923-1,015U1923-1,M,,,,EXP
015U1930-2,015U1930-2,M,,,,KIT
015U1931-2,015U1931-2,M,,,,KIT
015U1931-5,015U1931-5,M,,,,KIT
015U1931-6,015U1931-6,M,,,,KIT
015U1932-1,015U1932-1,M,,,,KIT
015U1933-1,015U1933-1,M,,,,KIT
015U1935-1,015U1935-1,M,,,,KIT
015U1936-1,015U1936-1,M,,,,KIT
